original_title,id,original_language,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline,summary_length,Unnamed: 15,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
Venom: Let There Be Carnage,580489,en,5401.308,2021-09-30,6.8,1736,"['Science Fiction', 'Action', 'Adventure']",finding host body investigative reporter alien symbiote must face new enemy alter ego serial killer,424000000,97.0,,161,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Eternals,524434,en,3365.535,2021-11-03,7.1,622,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",eternals team ancient alien living secret thousand year unexpected tragedy force shadow forced reunite mankind ancient enemy,165000000,157.0,In the beginning...,243,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Dune,438631,en,2911.423,2021-09-15,8.0,3632,"['Action', 'Adventure', 'Science Fiction']",brilliant gifted young man born great destiny beyond understanding must travel dangerous planet universe ensure future family people malevolent force explode conflict planet exclusive supply precious resource existence commodity capable unlocking humanity greatest potential conquer fear survive,331116356,155.0,"Beyond fear, destiny awaits.",443,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Army of Thieves,796499,en,2552.437,2021-10-27,6.9,555,"['Action', 'Crime', 'Thriller']",mysterious woman recruit bank teller lead group aspiring thief top secret heist early stage zombie apocalypse,0,127.0,"Before Vegas, one locksmith became a legend.",161,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Free Guy,550988,en,1850.47,2021-08-11,7.8,3493,"['Comedy', 'Action', 'Adventure', 'Science Fiction']",bank teller called realizes background character open world video game called soon go offline,331096766,115.0,Life's too short to be a background character.,134,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gunpowder Milkshake,574060,en,1453.423,2021-07-14,6.5,347,"['Action', 'Thriller', 'Crime']",turbulent life professional assassin ha choice go rogue save life innocent year old girl middle gang war ha unleashed,344931,114.0,Revenge is best served ice cold.,180,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Venom,335983,en,1212.352,2018-09-28,6.8,12126,"['Science Fiction', 'Action']",investigative journalist attempt comeback following scandal accidentally becomes host violent super powerful alien symbiote must rely newfound power protect world shadowy organization looking symbiote,855013954,112.0,The world has enough Superheroes.,291,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Halloween Kills,610253,en,1023.024,2021-10-14,7.0,1134,"['Horror', 'Thriller']",minute daughter granddaughter left masked monster caged burning basement rushed hospital life threatening injury believing finally killed lifelong tormentor manages free trap ritual bloodbath resume fight pain prepares defend inspires rise unstoppable monster woman join group survivor first rampage decide take matter hand forming vigilante mob set hunt,118852075,105.0,Evil dies tonight.,707,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
W lesie dziś nie zaśnie nikt 2,871964,pl,1089.852,2021-10-27,4.1,72,"['Horror', 'Thriller']",something horrible happens survivor bloody massacre insecure rookie cop must overcome fear stop carnage,0,96.0,,146,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
American Badger,768449,en,1148.822,2021-03-05,6.3,14,"['Action', 'Thriller']",seemingly cold blooded hitman assigned befriend call girl hell break loose assigned kill,0,88.0,Justice Before Redemption,127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
